document,base_document
United Nations,El Mundo (Spain)
Montjuïc Cemetery,Dona i Ocell
Street furniture in Barcelona,Dona i Ocell
Tapestry of the Fundació,Dona i Ocell
Museum of the History of Catalonia,Dona i Ocell
Torre de Collserola,Dona i Ocell
Casa Milà,Dona i Ocell
Genetic and Evolutionary Computation Conference,Artificial intelligence
Carl Gustav Hempel,Artificial intelligence
Computational propaganda,Artificial intelligence
Fitness approximation,Artificial intelligence
Analysis of algorithms,Artificial intelligence
Diari de Vilanova,La Vanguardia
Semiotics,Artificial intelligence
Robot navigation,Artificial intelligence
El Mundo (Spain),La Vanguardia
Communication protocol,Artificial intelligence
Alternating decision tree,Artificial intelligence
Gordon Moore,Artificial intelligence
Audrey Azoulay,La Vanguardia
L'Eco de Sitges,La Vanguardia
L'Econòmic,La Vanguardia
List of newspapers in Spain,La Vanguardia
Kappa (novella),Tree of life
Paramount Streaming,Tree of life
Hermetic Qabalah,Tree of life
Monarchism,La Vanguardia
Newspaper,La Vanguardia
Africa,Tree of life
Terumah (parashah),Tree of life
Almond,Tree of life
"Victoria, Johannesburg",District 9
Emanationism,Tree of life
UNESCO,La Vanguardia
Kʼinich Janaabʼ Pakal,Tree of life
Taoism,Tree of life
Western esotericism,Tree of life
Alexei Navalny,La Vanguardia
University of Johannesburg Women's F.C.,District 9
"Abbotsford, Johannesburg",District 9
"Cottesloe, Johannesburg",District 9
"Bryanston West, Gauteng",District 9
Kyalami,District 9
South African PGA Championship,District 9
Jeppe High School for Girls,District 9
Vaal Barrage,District 9
Olusegun Obasanjo,District 9
Bilinear interpolation,Minimal surface
Materials science,Minimal surface
Pseudo-Riemannian manifold,Minimal surface
Euclidean plane,Minimal surface
Complete metric space,Minimal surface
Encyclopedia of Mathematics,Minimal surface
Geodesic,Minimal surface
Encyclopedia of Mathematics,Minimal surface
Maximum and minimum,Minimal surface
Catalan Coastal Range,Montserrat (mountain)
Summit,Montserrat (mountain)
Weierstrass–Enneper parameterization,Minimal surface
Sant Joan Funicular,Montserrat (mountain)
Digital object identifier,Montserrat (mountain)
Benedictines,Montserrat (mountain)
Serration,Montserrat (mountain)
Normal route,Montserrat (mountain)
Luís Vaz de Torres,Montserrat (mountain)
Montserrat,Montserrat (mountain)
Torres Strait Islands,Montserrat (mountain)
Croatian interlace,The Human Condition (Magritte)
Daina Taimiņa,The Human Condition (Magritte)
Cathedral of Saint Mary of the Assumption (San Francisco),The Human Condition (Magritte)
Algorithm,The Human Condition (Magritte)
Scott Draves,The Human Condition (Magritte)
Friedrich Gilly,Andrea Palladio
"Washington, D.C.",The Human Condition (Magritte)
"Palazzo Porto, Vicenza",Andrea Palladio
"Malo, Veneto",Andrea Palladio
Mathematics and fiber arts,The Human Condition (Magritte)
Christian cross variants,Andrea Palladio
Mathematics and architecture,The Human Condition (Magritte)
Catenary,The Human Condition (Magritte)
Baldassare Longhena,Andrea Palladio
Piano nobile,Andrea Palladio
Ancient Roman architecture,Andrea Palladio
Villa Trissino (Meledo di Sarego),Andrea Palladio
Thomas Dawes,Andrea Palladio
World Trade Center Barcelona,Casa de les Punxes
"Old Hospital de la Santa Creu, Barcelona",Casa de les Punxes
Peter Forakis,The Human Condition (Magritte)
Museu de la Música de Barcelona,Casa de les Punxes
Poblenou Cemetery,Casa de les Punxes
Johann Wolfgang von Goethe,Andrea Palladio
Torre de Collserola,Casa de les Punxes
Venetian Towers,Casa de les Punxes
Avinguda Meridiana,Casa de les Punxes
Museum of the History of Barcelona,Casa de les Punxes
Casa Amatller,Casa de les Punxes
"Plaça d'Ildefons Cerdà, Barcelona",Casa de les Punxes
Sanderson Miller,Gothic Revival architecture
Albert Memorial,Gothic Revival architecture
Franklin Toker,Gothic Revival architecture
Jena Romanticism,Gothic Revival architecture
New Khmer Architecture,Gothic Revival architecture
Googie architecture,Gothic Revival architecture
Earth lodge,Gothic Revival architecture
Vézelay Abbey,Gothic Revival architecture
Tapai,Kahlúa
Wiśniówka (liqueur),Kahlúa
Slivovitz,Kahlúa
Richard Wagner,Gothic Revival architecture
Vernacular architecture,Gothic Revival architecture
Kontabas,Kahlúa
Boza,Kahlúa
Paul Ricard,Kahlúa
Gwaha-ju,Kahlúa
Pangasi,Kahlúa
Bathtub gin,Kahlúa
Coffee and doughnuts,Drip coffee
Ethanol fermentation,Kahlúa
Caffè sospeso,Drip coffee
Cold brew coffee,Drip coffee
Bauscher (company),Drip coffee
Einspänner,Drip coffee
Coffee roasting,Drip coffee
Latte art,Drip coffee
Biomedicine,Semantic Scholar
Wikidata,Semantic Scholar
Citation cartel,Semantic Scholar
Ceramic,Drip coffee
ISSN,Semantic Scholar
Coffee wars,Drip coffee
White paper,Semantic Scholar
Coffee production,Drip coffee
Scientific writing,Semantic Scholar
Citation analysis,Semantic Scholar
Scientometrics,Semantic Scholar
Author-level metrics,Semantic Scholar
Dish drying cabinet,Coffee percolator
Third-wave coffee,Coffee percolator
Hair iron,Coffee percolator
Amazon Alexa,Semantic Scholar
Kitchen stove,Coffee percolator
Irish coffee,Coffee percolator
Decaffeination,Coffee percolator
International Coffee Day,Coffee percolator
Moka pot,Coffee percolator
Coffee Time,Coffee wars
Appliance recycling,Coffee percolator
Turkish coffee,Coffee percolator
Food trends,Coffee wars
Moka pot,Coffee wars
Flat white,Coffee wars
"Shelburne, Ontario",Coffee wars
Low-acid coffee,Coffee wars
Coffee cabinet,Coffee wars
Flat white,Coffee wars
Kopi (drink),Coffee wars
The Wall Street Journal,Coffee wars
Kahawa Sug,Coffeemaker
Café con leche,Coffeemaker
White coffee,Coffeemaker
Bug zapper,Coffeemaker
Humidifier,Coffeemaker
Einspänner,Coffeemaker
White coffee,Coffeemaker
Shade-grown coffee,Coffeemaker
Washer-dryer,Coffeemaker
AeroPress,Coffeemaker
OCLC,Scandinavian Journal of Gastroenterology
OCLC,Scandinavian Journal of Gastroenterology
Outline of academic disciplines,Scandinavian Journal of Gastroenterology
Medical journal,Scandinavian Journal of Gastroenterology
Journal Citation Reports,Scandinavian Journal of Gastroenterology
Informa,Scandinavian Journal of Gastroenterology
ISO 4,Scandinavian Journal of Gastroenterology
Euribor,London International Financial Futures and Options Exchange
OCLC,Scandinavian Journal of Gastroenterology
Web of Science,Scandinavian Journal of Gastroenterology
Thomson Reuters,Scandinavian Journal of Gastroenterology
Chicago Board of Trade,London International Financial Futures and Options Exchange
Extended-hours trading,London International Financial Futures and Options Exchange
Euribor,London International Financial Futures and Options Exchange
MATIF,London International Financial Futures and Options Exchange
City of London,London International Financial Futures and Options Exchange
Euronext,London International Financial Futures and Options Exchange
Intercontinental Exchange,London International Financial Futures and Options Exchange
Blackstone Inc.,London International Financial Futures and Options Exchange
Futures contract,London International Financial Futures and Options Exchange
Subscription business model,JSTOR
Library Journal,JSTOR
Library Journal,JSTOR
Ithaka Harbors,JSTOR
Embargo (academic publishing),JSTOR
ISSN,JSTOR
Anna's Archive,JSTOR
JHOVE,JSTOR
New York City,JSTOR
Maragogipe Coffee,Coffea charrieriana
Qishr,Coffea charrieriana
Benguet coffee,Coffea charrieriana
United States v. Swartz,JSTOR
Antioxidant,Coffea charrieriana
Africa,Coffea charrieriana
Coffea,Coffea charrieriana
International Coffee Organization,Coffea charrieriana
Rüdesheimer Kaffee,Coffea charrieriana
Genetic disorder,Coffea charrieriana
Clade,Coffea charrieriana
International Symposium on Physical Design,Genetic and Evolutionary Computation Conference
ACM Prize in Computing,Genetic and Evolutionary Computation Conference
Association for the Advancement of Artificial Intelligence,Genetic and Evolutionary Computation Conference
Particle swarm optimization,Genetic and Evolutionary Computation Conference
Florida,Genetic and Evolutionary Computation Conference
Illinois,Genetic and Evolutionary Computation Conference
Chicago,Genetic and Evolutionary Computation Conference
Japan,Genetic and Evolutionary Computation Conference
ACM Queue,Genetic and Evolutionary Computation Conference
Illusory truth effect,Computational propaganda
SIGPLAN,Genetic and Evolutionary Computation Conference
Digital object identifier,Computational propaganda
Buzzword,Computational propaganda
Neural network (machine learning),Computational propaganda
Dog whistle (politics),Computational propaganda
Big lie,Computational propaganda
Slogan,Computational propaganda
Psychological warfare,Computational propaganda
Neural network (machine learning),Computational propaganda
Ian Hacking,Carl Gustav Hempel
Blood libel,Computational propaganda
Vienna Circle,Carl Gustav Hempel
Philosophy of psychology,Carl Gustav Hempel
Humboldt University of Berlin,Carl Gustav Hempel
Analytic–synthetic distinction,Carl Gustav Hempel
ISSN,Carl Gustav Hempel
Inductive-statistical model,Carl Gustav Hempel
Evidence-based practice,Carl Gustav Hempel
Wayback Machine,Fitness approximation
Analytic–synthetic distinction,Carl Gustav Hempel
Maximum and minimum,Fitness approximation
Multilayer perceptron,Fitness approximation
Mathematical optimization,Fitness approximation
Optimization problem,Fitness approximation
Paul Oppenheim,Carl Gustav Hempel
Reinforcement learning from human feedback,Fitness approximation
Reinforcement learning,Fitness approximation
Neural network (machine learning),Fitness approximation
Computer animation,Analysis of algorithms
Multiprocessing,Analysis of algorithms
Requirements analysis,Analysis of algorithms
Neural network (machine learning),Fitness approximation
Thomas H. Cormen,Analysis of algorithms
Polynomial,Fitness approximation
Image compression,Analysis of algorithms
Dependability,Analysis of algorithms
Evolutionary robotics,Robot navigation
Springer Science+Business Media,Analysis of algorithms
Decision support system,Analysis of algorithms
Programming language,Analysis of algorithms
Terrainability,Robot navigation
Machine learning,Analysis of algorithms
Glossary of robotics,Robot navigation
Hexapod (robotics),Robot navigation
Feature (computer vision),Robot navigation
Competitions and prizes in artificial intelligence,Robot navigation
Unmanned ground vehicle,Robot navigation
Nanorobotics,Robot navigation
Medical robot,Robot navigation
BEAM robotics,Robot navigation
Boosting (machine learning),Alternating decision tree
ISBN,Alternating decision tree
Decision stump,Alternating decision tree
C4.5 algorithm,Alternating decision tree
Symbol,Semiotics
Logical conjunction,Alternating decision tree
Correlation,Alternating decision tree
C4.5 algorithm,Alternating decision tree
Machine learning,Alternating decision tree
Decision tree learning,Alternating decision tree
Glossematics,Semiotics
Archaeology,Semiotics
Aldous Huxley,Semiotics
Music,Semiotics
History of China,Semiotics
Yoav Freund,Alternating decision tree
Enactivism,Semiotics
Skymont,Gordon Moore
Context,Semiotics
The Philadelphia Inquirer,Gordon Moore
Algirdas Julien Greimas,Semiotics
Intel Shooting Star,Gordon Moore
Beckman Coulter,Gordon Moore
Patriarchy,Semiotics
Integrated circuit,Gordon Moore
Nick Holonyak,Gordon Moore
List of Intel Xeon processors (Ivy Bridge-based),Gordon Moore
Nehalem (microarchitecture),Gordon Moore
Enterprise information system,Communication protocol
Mathematical software,Communication protocol
ISBN,Gordon Moore
Emile Berliner,Communication protocol
Internet2,Communication protocol
List of Intel graphics processing units,Gordon Moore
National Physical Laboratory (United Kingdom),Communication protocol
Artificial intelligence,Communication protocol
Optical communication,Communication protocol
End-to-end principle,Communication protocol
Parallel Line Internet Protocol,Communication protocol
NMMU F.C.,University of Johannesburg Women's F.C.
Amanda Dlamini,University of Johannesburg Women's F.C.
Matshidiso Masebe,University of Johannesburg Women's F.C.
Virtual reality,Communication protocol
University of the Western Cape Women's F.C.,University of Johannesburg Women's F.C.
SAFA Women's League,University of Johannesburg Women's F.C.
2018 Varsity Football,University of Johannesburg Women's F.C.
Boksburg explosion,"Victoria, Johannesburg"
Away colours,University of Johannesburg Women's F.C.
2025 Women's Varsity Football,University of Johannesburg Women's F.C.
North Doornfontein,"Victoria, Johannesburg"
"Croydon, Kempton Park","Victoria, Johannesburg"
SAB World of Beer,"Victoria, Johannesburg"
University of Johannesburg Women's F.C.,University of Johannesburg Women's F.C.
South Africa,University of Johannesburg Women's F.C.
Bekkersdal,"Victoria, Johannesburg"
"Park Central, Gauteng","Victoria, Johannesburg"
Ferreirasdorp,"Victoria, Johannesburg"
Southern Sun Hotels,"Victoria, Johannesburg"
"Victory Park, Johannesburg","Victoria, Johannesburg"
Corruption in Nigeria,Olusegun Obasanjo
Ecoregion,"Victoria, Johannesburg"
G8,Olusegun Obasanjo
Ebitu Ukiwe,Olusegun Obasanjo
1966 Nigerian counter-coup,Olusegun Obasanjo
Colonial Nigeria,Olusegun Obasanjo
Austerity,Olusegun Obasanjo
Levy Mwanawasa,Olusegun Obasanjo
Soweto derby,"Bryanston West, Gauteng"
Pan-Africanism,Olusegun Obasanjo
Doctor of Philosophy,Olusegun Obasanjo
Bowls South Africa,"Bryanston West, Gauteng"
Mogale City Local Municipality,"Bryanston West, Gauteng"
Timeline of Johannesburg,"Bryanston West, Gauteng"
Olusegun Agagu,Olusegun Obasanjo
The Star (South Africa),"Bryanston West, Gauteng"
Inadan (city),"Bryanston West, Gauteng"
Regina Mundi Catholic Church (Soweto),"Bryanston West, Gauteng"
SABC 2,"Cottesloe, Johannesburg"
Arop House,"Bryanston West, Gauteng"
Bidvest Wits F.C.,"Bryanston West, Gauteng"
Yeshiva Maharsha Beis Aharon,"Bryanston West, Gauteng"
Modderfontein (East Rand),"Cottesloe, Johannesburg"
Lesaka Technologies,"Cottesloe, Johannesburg"
Johannesburg Central Police Station,"Cottesloe, Johannesburg"
"Highlands North, Gauteng","Cottesloe, Johannesburg"
Ellis Park Stadium disaster,"Cottesloe, Johannesburg"
SAB World of Beer,"Cottesloe, Johannesburg"
Prolecon,"Abbotsford, Johannesburg"
Moletsane High School,"Cottesloe, Johannesburg"
Union of Orthodox Synagogues,"Cottesloe, Johannesburg"
Tulisa Park,"Cottesloe, Johannesburg"
World Geographical Scheme for Recording Plant Distributions,"Abbotsford, Johannesburg"
Driefontein mine,"Abbotsford, Johannesburg"
DLO Energy Resources Group,"Abbotsford, Johannesburg"
Spes Bona,"Abbotsford, Johannesburg"
Randburg,"Abbotsford, Johannesburg"
Robertsham,"Abbotsford, Johannesburg"
Kliptown,"Abbotsford, Johannesburg"
National Union of Mineworkers (South Africa),"Abbotsford, Johannesburg"
Wits Theatre Complex,Kyalami
Joburg Ladies Open,Kyalami
E-toll (South Africa),"Abbotsford, Johannesburg"
Jukskei Park,Kyalami
Witwatersrand,Kyalami
Elton Hill,Kyalami
Albert Park Circuit,Kyalami
Winchester Hills,Kyalami
Percelia Estate,Kyalami
South African Agricultural Plantation and Allied Workers Union,Kyalami
Gimme Hope Jo'anna,Kyalami
Chassidim Shul,Vaal Barrage
Randjesfontein Agricultural Holdings,Vaal Barrage
Sibanye-Stillwater,Vaal Barrage
Communication Workers Union (South Africa),Vaal Barrage
Easterns cricket team,Vaal Barrage
Paulshof,Vaal Barrage
"Kya Sands, Johannesburg",Vaal Barrage
Natal Bank Building,Vaal Barrage
Sandton (Gautrain station),Vaal Barrage
MuseuMAfricA,Jeppe High School for Girls
Business Day (South Africa),Vaal Barrage
Miss World 2008,Jeppe High School for Girls
3rd Armoured Personnel Carrier Squadron,Jeppe High School for Girls
"Maryvale, Gauteng",Jeppe High School for Girls
Industrial Water Cooling,Jeppe High School for Girls
Radio 702,Jeppe High School for Girls
Development Bank of Southern Africa,Jeppe High School for Girls
SABC Sport,Jeppe High School for Girls
Plovers Lake,Jeppe High School for Girls
Elton Hill,South African PGA Championship
Duduza,Jeppe High School for Girls
Bapsfontein,South African PGA Championship
Brian Henning,South African PGA Championship
South African Institute of Race Relations,South African PGA Championship
Executive Council of Gauteng,South African PGA Championship
South African Radio League,South African PGA Championship
Cadac (South Africa),South African PGA Championship
Vision Software,South African PGA Championship
Benson & Hedges Trophy,South African PGA Championship
Jaco van Zyl,South African PGA Championship
